timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
4.64,0,0,0,0,0,0,0,0,0,0,0,0.276,0.016,-0.134,2.26,0.68,0,0.37,0.07,2,0,0.64,1.55,0.22,0,0,0,0,0.24,2.28,0
4.68,0,0,0,0,0,0,0,0,0,0,0,0.273,0.022,-0.134,2.18,0.61,0,0.41,0,1.87,0,0.56,1.55,0.06,0,0,0,0,0.09,2.11,0
4.72,0,0,0,0,0,0,0,0,0,0,0,0.267,0.024,-0.133,2.17,0.6,0,0.5,0,1.87,0,0.43,1.52,0,0,0,0,0,0,2.04,0
4.76,0,0,0,0,0,0,0,0,0,0,0,0.261,0.035,-0.132,2.14,0.65,0,0.51,0,2,0,0.34,1.48,0,0,0,0,0,0,2.02,0
4.8,0,0,0,0,0,0,0,0,0,0,0,0.259,0.035,-0.129,2.13,0.73,0,0.64,0,2.08,0,0.13,1.42,0,0,0.04,0,0,0,1.75,0
4.84,0,0,0,0,0,0,0,0,0,0,0,0.256,0.041,-0.122,2.04,0.71,0,0.67,0,2.07,0,0.04,1.41,0,0,0.09,0,0.05,0,1.32,0
4.88,0,0,0,0,0,0,0,0,0,0,0,0.252,0.044,-0.117,1.99,0.74,0,0.85,0,1.91,0,0,1.45,0,0,0.23,0,0.05,0,0.96,0
4.92,0,0,0,0,0,0,0,0,0,0,0,0.245,0.041,-0.114,2.05,0.86,0,0.96,0,1.74,0,0,1.46,0,0,0.37,0,0.08,0,0.9,0
4.96,0,0,0,0,0,0,0,0,0,0,0,0.249,0.036,-0.108,1.95,0.91,0,0.72,0,1.91,0,0,1.46,0.04,0.04,0.65,0,0.13,0,0.84,0
5,0,0,0,0,0,0,0,0,0,0,0,0.241,0.043,-0.105,2.11,1.19,0,0.58,0,1.97,0,0,1.51,0.27,0.18,0.91,0,0.13,0,0.72,0.79
