Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
HeadDownL-GestObjectManipulation-null,3,Dom,Lstn,-0.34608333333333335,2,8,0.011834319526627219,0.25,1.8369565217391304,1.1518737672583825
GestAdaptorArms-HeadDownL-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
HeadDownL-RestArmsCrossed-null,3,Dom,Lstn,-0.34608333333333335,4,10,0.023668639053254437,0.4,2.939130434782609,1.4398422090729783
HeadUpL-SmileN-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
GestAdaptorArms-HeadUpL-null,3,Dom,Lstn,-0.34608333333333335,2,7,0.011834319526627219,0.2857142857142857,2.0993788819875774,1.2094674556213016
HeadNodNN-HeadNodNN-null,3,Dom,Lstn,-0.34608333333333335,2,12,0.011834319526627219,0.16666666666666666,1.2246376811594202,1.0366863905325443
HeadNodNN-BodyLeanH-null,3,Dom,Lstn,-0.34608333333333335,2,2,0.011834319526627219,1.0,7.3478260869565215,Infinity
HeadNodNN-EyebrowUpN-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
HeadNodNN-SmileN-null,3,Dom,Lstn,-0.34608333333333335,4,10,0.023668639053254437,0.4,2.939130434782609,1.4398422090729783
SmileL-HeadNodNN-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
HeadNodNN-GestObjectManipulation-null,3,Dom,Lstn,-0.34608333333333335,2,6,0.011834319526627219,0.3333333333333333,2.4492753623188404,1.2958579881656802
HeadNodNN-GestAdaptorArms-null,3,Dom,Lstn,-0.34608333333333335,2,8,0.011834319526627219,0.25,1.8369565217391304,1.1518737672583825
RestArmsCrossed-HeadNodNN-null,3,Dom,Lstn,-0.34608333333333335,2,6,0.011834319526627219,0.3333333333333333,2.4492753623188404,1.2958579881656802
HeadNodLN-HeadNodLN-null,3,Dom,Lstn,-0.34608333333333335,2,12,0.011834319526627219,0.16666666666666666,1.2246376811594202,1.0366863905325443
HeadNodLN-EyebrowUpN-null,3,Dom,Lstn,-0.34608333333333335,3,7,0.01775147928994083,0.42857142857142855,3.1490683229813663,1.5118343195266273
SmileN-HeadNodLN-null,3,Dom,Lstn,-0.34608333333333335,2,6,0.011834319526627219,0.3333333333333333,2.4492753623188404,1.2958579881656802
HeadNodLN-GestAdaptorArms-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
GestAdaptorArms-HeadNodLN-null,3,Dom,Lstn,-0.34608333333333335,2,8,0.011834319526627219,0.25,1.8369565217391304,1.1518737672583825
HeadNodLN-RestArmsCrossed-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
RestUnder-HeadNodLN-null,3,Dom,Lstn,-0.34608333333333335,2,7,0.011834319526627219,0.2857142857142857,2.0993788819875774,1.2094674556213016
